Spell Name,Level,School,Ritual,Casting Time,Range,Target/Area,V,S,M,Component(s),Cost,Concentration,Duration,Attack/Saving Throw (Effect),Damage Type,Damage/Heal,Sourcebook,Page #,Additional Detail,Per Higher Spell Level,Bard,Cleric,Druid,Paladin,Ranger,Sorceror,Warlock,Wizard
Vicious Mockery,0,Enchantment,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,WIS (Fail),Psychic,DAM: 1d4,PHB,285,"Disadvantage to attack.DAM increase.5th level:2d4,11th level:3d4,17th level:4d4",,Bard,,,,,,,
Wall of Fire,4,Evocation,,1 action,120 ft.,See Sourcebook.,V,S,M,small piece of phosphorous,,Concentration,1 minute,DEX (Half DAM),Fire,DAM: 5d8,PHB,285,Those entering or ending turn on one side of the wall take 5d8 fire DAM. ,Extra 1d8 DAM.,,Cleric(Light),Druid,,,Sorceror,,Wizard
Wall of Force,5,Evocation,,1 action,120 ft.,See Sourcebook.,V,S,M,powder from clear gemstone,,Concentration,10 minutes,,,,PHB,285,Create impenetrable wall (even into Ethereal Plane) only unmade by Disintegrate.,,,,,,,,,Wizard
Wall of Ice,6,Evocation,,1 action,120 ft.,See Sourcebook.,V,S,M,small piece of quartz,,Concentration,10 minutes,DEX (Half DAM),Cold,DAM: 10d6,PHB,285,"Ice:AC 12, 30 HP. Moving through ice:take 5d6 cold DAM or CON save for half.","Extra DAM:2d6,1d6 moving",,,,,,,,Wizard
Wall of Stone,5,Evocation,,1 action,120 ft.,See Sourcebook.,V,S,M,small block of granite,,Concentration,10 minutes,"DEX (Move away, not trapped)",,,PHB,287,Create wall of stone or other stone structure.  See Sourcebook.,,,,Druid,,,Sorceror,,Wizard
Wall of Thorns,6,Conjuration,,1 action,120 ft.,See Sourcebook.,V,S,M,handful of thorns,,Concentration,10 minutes,DEX (Half DAM),Piercing,DAM: 7d8,PHB,287,Move through wall at 1/4 speed and take 7d8 slashing DAM (DEX save for half).,Extra 1d8 DAM (both types).,,,Druid,,,,,
Warding Bond,2,Abjuration,,1 action,Touch,1 willing creature,V,S,M,pair of platinum rings,50 gp,,1 hour,,,,PHB,287,"Target (60ft) has +1 AC and saves, resistance to all DAM, shares DAM with you.",,,Cleric,,,,,,
Water Breathing,3,Transmutation,Ritual,1 action,30 ft.,<= 10 willing creatures,V,S,M,short reed or piece of straw,,,24 hours,,,,PHB,287,Creatures gain ability to breathe underwater using normal respiration.,,,,Druid,,Ranger,Sorceror,,Wizard
Water Walk,3,Transmutation,Ritual,1 action,30 ft.,<= 10 willing creatures,V,S,M,piece of cork,,,1 hour,,,,PHB,287,"Creaturess walk on liquid, rise 60 ft. per round if under. Still take other damage.",,,Cleric,Druid,,Ranger,Sorceror,,
Web,2,Conjuration,,1 action,60 ft.,20 ft. cube,V,S,M,bit of spiderweb,,Concentration,1 hour,DEX (Fail),,,PHB,287,Every turn:DEX save or restrain;STR save to escape.Burning webs:2d4 fire DAM.,,,,Druid(Underdark),,,Sorceror,,Wizard
Weird,9,Illusion,,1 action,120 ft.,30 ft. radius,V,S,,,,Concentration,1 minute,WIS (Fail),Psychic,DAM: 4d10,PHB,288,Affected creatures make WIS saves each turn and take DAM until they save.,,,,,,,,,Wizard
Wind Walk,6,Transmutation,,1 minute,30 ft.,You and <= 10 willing creatures,V,S,M,fire and holy water,,,8 hours,,,,PHB,288,Fly speed: 300 ft. Resist weapons.Only Dash in cloud form. Can revert to normal.,,,,Druid,,,,,
Wind Wall,3,Evocation,,1 action,120 ft.,See Sourcebook.,V,S,M,tiny fan and exotic feather,,Concentration,1 minute,STR (Half DAM),Bludgeoning,DAM: 3d8,PHB,288,"Strong wind keeps gases, flying creatures, projectiles, gaseous creatures away.",,,Cleric(Nature),Druid,,Ranger,,,
Wish,9,Conjuration,,1 action,Self,Self,V,,,,,,Instantaneous,,,,PHB,288,Replicate and spell <= 8th level or other powerful effect granted. See Sourcebook.,,,,,,,Sorceror,,Wizard
Witch Bolt,1,Evocation,,1 action,30 ft.,1 creature,V,S,M,twig from tree struck by lightning,,Concentration,1 minute,Ranged Spell Attack,Lightning,DAM: 1d12,PHB,289,Use action to auto hit target hit last round for 1d12 lightning DAM if in range.,Extra 1d12 DAM.,,,,,,Sorceror,Warlock,Wizard
Word of Recall,6,Conjuration,,1 action,5 ft.,You and <= 5 willing creatures,V,,,,,,Instantaneous,,,,PHB,289,Instantly teleport to sanctuary you select during prep associated with your deity.,,,Cleric,,,,,,
Wrathful Smite,1,Evocation,,1 bonus action,Self,1 creature,V,,,,,Concentration,1 minute,Melee Weapon Attack,Psychic,DAM: 1d6,PHB,289,Target hit also makes WIS save or is frightened. WIS save to end effect.,,,,,Paladin,,,,
Zone of Truth,2,Enchantment,,1 action,60 ft.,15 ft. radius sphere,V,S,,,,,10 minutes,CHA (Fail),,,PHB,289,You know which fail saves. They can't lie but know of spell and can be evasive.,,Bard,Cleric,,Paladin,,,,
